order,landing_path,role,expected_http,required_html_markers,expected_events,notes
1,/ventilyatsiya-restoranov.html,hub,200,"data-page-slug|data-contact-form|data-form-id|data-cta-id|analytics.js|telegram-form.js|rel=""canonical""",page_view|cta_view|phone_click|whatsapp_click|form_open|form_start|form_submit_attempt|form_submit_success,postdeploy static smoke target; no form submission by default
2,/remont-ventilyatsii-restoranov.html,direct-ready,200,"data-page-slug|data-contact-form|data-form-id|data-cta-id|analytics.js|telegram-form.js|rel=""canonical""",page_view|cta_view|phone_click|whatsapp_click|telegram_click|form_open|form_start|form_submit_click|form_validation_error|form_submit_attempt|form_submit_success|form_submit_error,postdeploy static smoke target; no form submission by default
3,/obsluzhivanie-ventilyatsii-restoranov.html,direct-ready,200,"data-page-slug|data-contact-form|data-form-id|data-cta-id|analytics.js|telegram-form.js|rel=""canonical""",page_view|cta_view|phone_click|whatsapp_click|telegram_click|form_open|form_start|form_submit_click|form_validation_error|form_submit_attempt|form_submit_success|form_submit_error,postdeploy static smoke target; no form submission by default
4,/chistka-ventilyatsii-restoranov.html,direct-ready,200,"data-page-slug|data-contact-form|data-form-id|data-cta-id|analytics.js|telegram-form.js|rel=""canonical""",page_view|cta_view|phone_click|whatsapp_click|telegram_click|form_open|form_start|form_submit_click|form_validation_error|form_submit_attempt|form_submit_success|form_submit_error,postdeploy static smoke target; no form submission by default
5,/remont-vytyazhki-restorana.html,direct-ready,200,"data-page-slug|data-contact-form|data-form-id|data-cta-id|analytics.js|telegram-form.js|rel=""canonical""",page_view|cta_view|phone_click|whatsapp_click|telegram_click|form_open|form_start|form_submit_click|form_validation_error|form_submit_attempt|form_submit_success|form_submit_error,postdeploy static smoke target; no form submission by default
6,/remont-pritochnoj-ventilyatsii-restorana.html,direct-ready,200,"data-page-slug|data-contact-form|data-form-id|data-cta-id|analytics.js|telegram-form.js|rel=""canonical""",page_view|cta_view|phone_click|whatsapp_click|telegram_click|form_open|form_start|form_submit_click|form_validation_error|form_submit_attempt|form_submit_success|form_submit_error,postdeploy static smoke target; no form submission by default
7,/diagnostika-ventilyatsii-restorana.html,direct-ready,200,"data-page-slug|data-contact-form|data-form-id|data-cta-id|analytics.js|telegram-form.js|rel=""canonical""",page_view|cta_view|phone_click|whatsapp_click|telegram_click|form_open|form_start|form_submit_click|form_validation_error|form_submit_attempt|form_submit_success|form_submit_error,postdeploy static smoke target; no form submission by default
8,/ventilyatsiya-restorana-ne-tyanet.html,direct-ready,200,"data-page-slug|data-contact-form|data-form-id|data-cta-id|analytics.js|telegram-form.js|rel=""canonical""",page_view|cta_view|phone_click|whatsapp_click|telegram_click|form_open|form_start|form_submit_click|form_validation_error|form_submit_attempt|form_submit_success|form_submit_error,postdeploy static smoke target; no form submission by default
9,/vytyazhka-restorana-ne-rabotaet.html,direct-ready,200,"data-page-slug|data-contact-form|data-form-id|data-cta-id|analytics.js|telegram-form.js|rel=""canonical""",page_view|cta_view|phone_click|whatsapp_click|telegram_click|form_open|form_start|form_submit_click|form_validation_error|form_submit_attempt|form_submit_success|form_submit_error,postdeploy static smoke target; no form submission by default
10,/dym-na-kuhne-restorana.html,direct-ready,200,"data-page-slug|data-contact-form|data-form-id|data-cta-id|analytics.js|telegram-form.js|rel=""canonical""",page_view|cta_view|phone_click|whatsapp_click|telegram_click|form_open|form_start|form_submit_click|form_validation_error|form_submit_attempt|form_submit_success|form_submit_error,postdeploy static smoke target; no form submission by default
