page,claim,status,evidence_or_rewrite,owner
parokonvektomat-kod-oshibki.html,fake countdown,removed,Countdown section and localStorage timer removed,site
parokonvektomat-ne-greet.html,fake countdown,removed,Countdown section and localStorage timer removed,site
parokonvektomat-net-para.html,fake countdown,removed,Countdown section and localStorage timer removed,site
parokonvektomat-kod-oshibki.html,original parts requirement,rewritten,Compatibility is determined by model and nameplate,site
parokonvektomat-ne-greet.html,original parts requirement,rewritten,Compatibility is determined by model and nameplate,site
parokonvektomat-net-para.html,original parts requirement,rewritten,Compatibility is determined by model and nameplate,site
parokonvektomat-kod-oshibki.html,warranty up to 3 years,removed,No unsupported warranty duration remains,site
parokonvektomat-ne-greet.html,warranty up to 3 years,removed,No unsupported warranty duration remains,site
parokonvektomat-net-para.html,warranty up to 3 years,removed,No unsupported warranty duration remains,site
oshibki-pri-ekspluatatsii-vytyazhki-restorana.html,documents and cashless payment,rewritten,Strong contract and document claims replaced with conditional agreement language,site
diagnostika-ventilyatsii-restorana.html,documents and cashless payment,rewritten,Strong contract and document claims replaced with conditional agreement language,site
